SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15514,PÁEZ,115514000249,I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ,215514000138,ESC RURAL OSO,RURAL,VDA EL OSO,0,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15514,PÁEZ,115514000249,I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ,215514000154,ESC RURAL CEIBAL,RURAL,VDA CEIBAL,0,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15516,PAIPA,315516000466,I.E. SAGRADA FAMILIA,315516000466,I.E. SAGRADA FAMILIA,URBANA,CL 26 C 16 57,7853257,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",NO OFICIAL
BOYACA,15516,PAIPA,315516000636,JARD SICOPEDAGÓGICO MODERNO,315516000636,JARD SICOPEDAGÓGICO MODERNO,URBANA,CL 18#21 46,7850035,CIERRE DEFINITIVO,,,,NO OFICIAL
BOYACA,15516,PAIPA,115516000424,I.E. TOMAS VASQUEZ RODRIGUEZ,115516000041,CENT EDUC ALEJANDRA LOPEZ,URBANA,CR 20 NO 22-50,7852219,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15516,PAIPA,115516000424,I.E. TOMAS VASQUEZ RODRIGUEZ,215516000682,ESC LA LAGUNA,RURAL,VDA EL VENADO,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15516,PAIPA,215516000542,I.E. TECNICA AGRICOLA,215516000542,I.E. TECNICA AGRICOLA - SEDE PRINCIPAL,RURAL,VDA. EL SALITRE,7850471-7853463,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15516,PAIPA,215516000305,I.E. TECNICA PANTANO DE VARGAS,215516000224,ESC VENTA DE LLANO,RURAL,VDA VENTA DE LLANO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","-1,0,1,2,3,4,5,22,23",OFICIAL
BOYACA,15516,PAIPA,415516000410,I.E. TECNICA AGROPECUARIA DE PALERMO,215516000097,ESC PEÑA BLANCA,RURAL,VDA PEÑA BLANCA,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15516,PAIPA,415516000410,I.E. TECNICA AGROPECUARIA DE PALERMO,215516000071,ESC EL CURIAL,RURAL,VDA EL CURIAL,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
